timestamp,energy_kwh,anomaly,score
2022-12-31 22:00:00,8.24,False,-0.11865929280133042
2022-12-31 23:00:00,8.25,False,-0.11865929280133042
2023-01-01 00:00:00,8.28,False,-0.12131608729639337
2023-01-01 01:00:00,6.81,False,-0.12652147841655448
2023-01-01 02:00:00,7.09,False,-0.10367439249164034
2023-01-01 03:00:00,6.28,False,-0.1257109303209204
2023-01-01 04:00:00,22.93,False,-0.0865509143002946
2023-01-01 05:00:00,20.17,False,-0.08688503317173546
2023-01-01 06:00:00,18.7,False,-0.08336383689375049
2023-01-01 07:00:00,13.45,False,-0.09352244257761472
2023-01-01 08:00:00,12.67,False,-0.15007400996721604
2023-01-01 09:00:00,15.08,False,-0.08308998515014132
2023-01-01 10:00:00,13.63,False,-0.08229069406145184
2023-01-01 11:00:00,15.09,False,-0.08232728090009189
2023-01-01 12:00:00,12.16,False,-0.172594793523546
2023-01-01 13:00:00,13.65,False,-0.08114955987191919
2023-01-01 14:00:00,14.4,False,-0.0887350193830645
2023-01-01 15:00:00,29.52,True,0.09187977810880354
2023-01-01 16:00:00,27.76,True,0.002577230537960551
2023-01-01 17:00:00,26.81,True,0.0024741991239335404
2023-01-01 18:00:00,28.05,True,0.024015918078677312
2023-01-01 19:00:00,26.67,False,-0.0006016164513855671
2023-01-01 20:00:00,11.77,False,-0.156802545107264
2023-01-01 21:00:00,9.79,False,-0.09983984296477494
2023-01-01 22:00:00,6.26,False,-0.13287298530482688
2023-01-01 23:00:00,5.04,False,-0.03784199541840505
2023-01-02 00:00:00,6.27,False,-0.1291953630220904
2023-01-02 01:00:00,6.74,False,-0.12739587067717706
2023-01-02 02:00:00,5.84,False,-0.12650479986577223
2023-01-02 03:00:00,5.4,False,-0.09581496224465574
2023-01-02 04:00:00,18.82,False,-0.08449213468957861
2023-01-02 05:00:00,18.15,False,-0.07520247244963307
2023-01-02 06:00:00,17.83,False,-0.06255408634271742
2023-01-02 07:00:00,11.69,False,-0.16282803807628632
2023-01-02 08:00:00,11.63,False,-0.1557862048347322
2023-01-02 09:00:00,12.17,False,-0.17037019024825972
2023-01-02 10:00:00,11.64,False,-0.15755456937220713
2023-01-02 11:00:00,10.94,False,-0.1520325833419493
2023-01-02 12:00:00,12.61,False,-0.15188596841861934
2023-01-02 13:00:00,12.87,False,-0.15149541608830203
2023-01-02 14:00:00,12.85,False,-0.15070119138643434
2023-01-02 15:00:00,22.33,False,-0.10062515022626112
2023-01-02 16:00:00,20.9,False,-0.09175967929714501
2023-01-02 17:00:00,24.27,False,-0.09510900240116077
2023-01-02 18:00:00,21.33,False,-0.1034707320671629
2023-01-02 19:00:00,21.43,False,-0.09532551444237652
2023-01-02 20:00:00,9.17,False,-0.08724732459929141
2023-01-02 21:00:00,8.93,False,-0.09471932084979728
2023-01-02 22:00:00,5.78,False,-0.11925411689995424
2023-01-02 23:00:00,5.6,False,-0.10684214655410279
2023-01-03 00:00:00,6.91,False,-0.1296703780472609
2023-01-03 01:00:00,5.77,False,-0.11765754253954852
2023-01-03 02:00:00,5.7,False,-0.11031229121450253
2023-01-03 03:00:00,6.74,False,-0.12739587067717706
2023-01-03 04:00:00,17.69,False,-0.06452129406368112
2023-01-03 05:00:00,15.26,False,-0.08849086012742913
2023-01-03 06:00:00,16.97,False,-0.05288033572608497
